iter	Passed	Remaining
363	237640	415218
364	238287	414555
365	238942	413906
366	239596	413254
367	240238	412584
368	240901	411947
369	241557	411300
370	242223	410670
371	242852	409976
372	243510	409331
373	244143	408646
374	244800	408000
375	245451	407345
376	245977	406482
377	246627	405825
378	247322	405243
379	247967	404578
380	248636	403952
381	249306	403327
382	249953	402667
383	250631	402054
384	251286	401406
385	251918	400719
386	252543	400023
387	253187	399357
388	253822	398677
389	254480	398032
390	255209	397500
391	255840	396814
392	256498	396170
393	256941	395193
394	257556	394485
395	258176	393784
396	258787	393070
397	259438	392417
398	260139	391839
399	260803	391205
400	261436	390524
401	262064	389837
402	262655	389095
403	263298	388430
404	263914	387725
405	264541	387038
406	265173	386358
407	265829	385712
408	266488	385072
409	267114	384383
410	267741	383697
411	268392	383045
412	269021	382362
413	269664	381699
414	270272	380986
415	270947	380368
416	271717	379883
417	272413	379293
418	273004	378558
419	273621	377858
420	274263	377193
421	274893	376513
422	275543	375859
423	276156	375156
424	276779	374466
425	277438	373825
426	278067	373144
427	278685	372448
428	279337	371799
429	280011	371178
430	280651	370511
431	281289	369843
432	281865	369093
433	282502	368424
434	283153	367773
435	283806	367126
436	284454	366470
437	285110	365826
438	285870	365315
439	286558	364710
440	287192	364038
441	287835	363375
442	288510	362754
443	289159	362100
444	289783	361415
445	290450	360783
446	291163	360209
447	291829	359575
448	292462	358901
449	293103	358237
450	293747	357576
451	294358	356877
452	295007	356223
453	295661	355574
454	296316	354928
455	297087	354420
456	297838	353887
457	298540	353294
458	299176	352624
459	299917	352076
460	300594	351454
461	301267	350826
462	301907	350160
463	302524	349467
464	303152	348788
465	303786	348115
466	304468	347498
467	305096	346818
468	305789	346213
469	306475	345600
