iter	MultiClass
0	0.9338050942
1	0.8092865293
2	0.7113151897
3	0.6332770853
4	0.5673418695
5	0.5104978127
6	0.4629297161
7	0.4229692337
8	0.3877048244
9	0.3565751024
10	0.3300740377
11	0.3060787664
12	0.2846680521
13	0.2661475178
14	0.2499027738
15	0.2353063342
16	0.2228060411
17	0.2109120931
18	0.2003206522
19	0.1913075967
20	0.1829503599
21	0.1755040956
22	0.1690524776
23	0.1633245252
24	0.1583817213
25	0.1528652847
26	0.1485691495
27	0.1448320938
28	0.1408601852
29	0.138457128
30	0.1354925431
31	0.1332212415
32	0.1307983641
33	0.1280725725
34	0.1262652387
35	0.1245098379
36	0.1230224128
37	0.1216738077
38	0.1198755754
39	0.1183167436
40	0.1171764475
41	0.1165981321
42	0.1153329343
43	0.1146743674
44	0.1133958834
45	0.1127351167
46	0.1123863512
47	0.1118742128
48	0.1113627725
49	0.1104495335
50	0.1100150906
51	0.1097157461
52	0.1093597059
53	0.1086561044
54	0.1084042751
55	0.1080169666
56	0.1073585254
57	0.1071687873
58	0.1068673673
59	0.1065217499
60	0.1063320627
61	0.1060603546
62	0.1058596234
63	0.1055922168
64	0.1053036959
65	0.1050598042
66	0.104858628
67	0.1044825111
68	0.1042273872
69	0.104036127
70	0.1039011539
71	0.103630226
72	0.103434833
73	0.1032902886
74	0.102952659
75	0.1027656121
76	0.1025080747
77	0.1022316259
78	0.1019816097
79	0.101801227
80	0.1016156539
81	0.1014164184
82	0.1012654882
83	0.1011288683
84	0.1009556627
85	0.1008412111
86	0.100686954
87	0.1004373091
88	0.1001203754
89	0.1000526333
90	0.09985426923
91	0.09970983502
92	0.09955976466
93	0.0994064911
94	0.09907421827
95	0.0989745128
96	0.09875636739
97	0.09862644895
98	0.09845639154
99	0.09834430155
100	0.09826035046
101	0.09813285965
102	0.09796369341
103	0.0978732907
104	0.09772824531
105	0.0976202982
106	0.09751928897
107	0.09732091557
108	0.09720601714
109	0.09710491277
110	0.09690195561
111	0.09671701983
112	0.09661384745
113	0.09656344758
114	0.0964381101
115	0.09633434265
116	0.09621433336
117	0.09593728783
118	0.09586732881
119	0.09574477826
120	0.09569016413
121	0.09555309685
122	0.09536579499
123	0.09523317047
124	0.09510867826
125	0.09502530913
126	0.0949122671
127	0.09481091749
128	0.09472223435
129	0.09459323864
130	0.0945086772
131	0.09443084823
132	0.09427718848
133	0.09422375578
134	0.09411712516
135	0.09394512354
136	0.0938327886
137	0.09372795344
138	0.09365516058
139	0.09358263638
140	0.09343170611
141	0.09334730322
142	0.09322170034
143	0.0930636126
144	0.09296115409
145	0.09283355401
146	0.09271206378
147	0.09265274324
148	0.09256781772
149	0.0924676971
150	0.09238278416
151	0.09229662957
152	0.09222358176
153	0.09205278984
154	0.09194055234
155	0.09179691025
156	0.09171668582
157	0.09162879705
158	0.09156240507
159	0.09140942997
160	0.09134513713
161	0.09125657313
162	0.09118500525
163	0.09106218817
164	0.09097837743
165	0.09077275707
166	0.09061448612
167	0.09056224687
168	0.09049433275
169	0.09044539259
170	0.09034315251
171	0.09026868596
172	0.0900764252
173	0.09002282354
174	0.08994518637
175	0.08984580216
176	0.08976127471
177	0.08969699377
178	0.0895973939
179	0.08954554846
180	0.089469787
181	0.08940306327
182	0.08936271511
183	0.08929731257
184	0.08923673775
185	0.08914139951
186	0.08905390721
187	0.08900037746
188	0.08885618402
189	0.08876279885
190	0.08870836688
191	0.08865915542
192	0.08857406625
193	0.08847194628
194	0.08837429331
195	0.08829007982
196	0.08821171816
197	0.0881245118
198	0.08804353284
199	0.08792824547
